feature,importance
C14orf93,0.06841390732651013
ARMC8,0.05927910695698893
MLST8,0.05725281099358644
ATG13,0.05488231839994902
STRADA,0.05403612694431705
IFT80,0.053572930070183086
MATR3,0.05357239341738222
POT1,0.05351887938484854
ASCC1,0.0534895730946879
MTMR2,0.052407923002491245
EDC3,0.05237892248964099
COPS7B,0.052236364879488593
CSNK2A1,0.05109014117702474
NEPRO,0.04983770437074576
AGK,0.04759076119772382
MSL3,0.04021534199974659
C2orf42,0.03911080439919638
AC008894.2,0.037655270159650756
CLN6,0.03653802451362966
CERS5,0.03292069522220802
